downloadId,eulaCode,url,downloadEntity,entityType
367939189,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221027_20221111_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODksImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGZKT3M3dEh4Q3JtVklwTFJkNkdPblwvaW1CXC9YXC9CbEFRTFJIZWI3anRJTEEifQ==,LC08_CU_030008_20221027_20221111_02,ST
367939190,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221027_20221111_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTAsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHp4TzNRVEtnenJzWHpYNkdPU05yM3dsS05Wek94WXBDSEltNnBoMmhKOTEifQ==,LC08_CU_030008_20221027_20221111_02,TOA
367939191,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221027_20221111_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTEsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGhQeFdEZUc5NWE2QTNjMWF2Q3A0NXRyUWFQYjZSYjlzMjlpSmx6QnlMTTEifQ==,LC08_CU_030008_20221027_20221111_02,BT
367939192,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221103_20221118_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTIsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGszbUFWYnB3XC80dXdDTkZyYWd3bTBSNVd6S29SZWxCNHpBSGZEVkdMa09DIn0=,LC08_CU_030008_20221103_20221118_02,QA
367939193,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221103_20221118_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTMsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDhhdXBkSUcyUTQ5b2JsOWt1RUdvXC84Q2sxQm15dUwua3lrN3pZY3FrNnQzIn0=,LC08_CU_030008_20221103_20221118_02,MTL
367939194,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221103_20221118_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTQsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGx0WVVGMkl6N3ljSHFkampxRmhjS3hYM3pNaWEwdG4yaWtkeWJ3WlM2ai4ifQ==,LC08_CU_030008_20221103_20221118_02,SR
367939195,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221103_20221118_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFVwaDNjNUJKSkVxZ0hFMWo5Zk91TEJDV0VcLzZXeGxWdzNoUGphUkRmRklcLyJ9,LC08_CU_030008_20221103_20221118_02,ST
367939196,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221103_20221118_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEdrYng5emhxRDVwYTFLY0phOVwvRGRLZlMzRU9ZSTM2cEdtVHk2b0drbFI0In0=,LC08_CU_030008_20221103_20221118_02,TOA
367939197,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221103_20221118_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHZrOHd3eXJtWnYzS3RieDZzQXNKVzJHbWRVaFwvcWFnR1Z2b1VrZnI3TkhBIn0=,LC08_CU_030008_20221103_20221118_02,BT
367939198,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221110_20221125_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTgsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFZPUXRtcFZTNkdGbG9iYUhIbzVYQjYzSTcuSzg3akJ4VDR3c3d5ZjVPZkEifQ==,LC08_CU_030008_20221110_20221125_02,QA
